from,to,percent,number,absvalue,lat,lng,source,target
荆门市,咸宁市,0.74,5964.191999999999,44.13502079999999,31.03539989309376,112.20000022843752,5,0
荆门市,黄石市,0.54,5964.191999999999,32.2066368,31.03539989309376,112.20000022843752,5,3
荆门市,鄂州市,0.41,5964.191999999999,24.45318719999999,31.03539989309376,112.20000022843752,5,8
十堰市,襄阳市,24.44,5352.804,1308.2252976,32.62920058688821,110.79800000487187,11,13
十堰市,武汉市,9.23,5352.804,494.06380920000004,32.62920058688821,110.79800000487187,11,15
十堰市,孝感市,2.1,5352.804,112.408884,32.62920058688821,110.79800000487187,11,7
十堰市,随州市,1.91,5352.804,102.2385564,32.62920058688821,110.79800000487187,11,1
十堰市,荆门市,1.84,5352.804,98.49159360000002,32.62920058688821,110.79800000487187,11,5
十堰市,黄冈市,1.8,5352.804,96.35047200000001,32.62920058688821,110.79800000487187,11,12
十堰市,荆州市,1.72,5352.804,92.0682288,32.62920058688821,110.79800000487187,11,9
十堰市,宜昌市,1.51,5352.804,80.8273404,32.62920058688821,110.79800000487187,11,16
十堰市,神农架林区,0.98,5352.804,52.457479199999995,32.62920058688821,110.79800000487187,11,4
十堰市,天门市,0.92,5352.804,49.24579680000001,32.62920058688821,110.79800000487187,11,14
十堰市,恩施土家族苗族自治州,0.7,5352.804,37.469628,32.62920058688821,110.79800000487187,11,10
十堰市,仙桃市,0.53,5352.804,28.3698612,32.62920058688821,110.79800000487187,11,2
十堰市,黄石市,0.52,5352.804,27.834580800000005,32.62920058688821,110.79800000487187,11,3
十堰市,咸宁市,0.5,5352.804,26.764020000000002,32.62920058688821,110.79800000487187,11,0
十堰市,潜江市,0.37,5352.804,19.8053748,32.62920058688821,110.79800000487187,11,6
十堰市,鄂州市,0.26,5352.804,13.917290400000002,32.62920058688821,110.79800000487187,11,8
荆州市,武汉市,15.46,12080.663999999999,1867.6706544,30.335000380826443,112.23899990797712,9,15
荆州市,宜昌市,11.18,12080.663999999999,1350.6182351999998,30.335000380826443,112.23899990797712,9,16
荆州市,潜江市,7.45,12080.663999999999,900.0094679999999,30.335000380826443,112.23899990797712,9,6
荆州市,仙桃市,6.24,12080.663999999999,753.8334336,30.335000380826443,112.23899990797712,9,2
荆州市,荆门市,5.42,12080.663999999999,654.7719887999999,30.335000380826443,112.23899990797712,9,5
荆州市,天门市,2.46,12080.663999999999,297.18433439999995,30.335000380826443,112.23899990797712,9,14
荆州市,恩施土家族苗族自治州,2.28,12080.663999999999,275.43913919999994,30.335000380826443,112.23899990797712,9,10
荆州市,咸宁市,2.23,12080.663999999999,269.39880719999996,30.335000380826443,112.23899990797712,9,0
